time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/std,train/learning_rate,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/clip_fraction
1421,2048,1,1,,,,,,,,,,,
1333,4096,2,3,0.16757118701934814,-2.8427531868219376,0.06028467416763306,0.0037219848,1.0037587881088257,0.0003,0.8352953795343637,10,-0.004219383894815109,0.2,0.014306640625
1304,6144,3,4,0.04644831269979477,-2.8428492546081543,0.10325837135314941,0.0070054196,0.9986604452133179,0.0003,0.4138568887487054,20,-0.003775632198085077,0.2,0.0259765625
1281,8192,4,6,0.27000749111175537,-2.8273931711912157,0.2056993842124939,0.0067564575,0.9895896911621094,0.0003,0.8998052719980478,30,-0.005285815789829939,0.2,0.04775390625
1290,10240,5,7,0.5482608675956726,-2.818778482079506,0.3000224232673645,0.0018692465,0.9934054017066956,0.0003,1.950133815407753,40,-0.0018697893450735138,0.2,0.002001953125
1292,12288,6,9,1.1344630718231201,-2.8277970224618914,0.15508681535720825,0.0050708894,0.9958814382553101,0.0003,2.48210226893425,50,-0.0034974193724337964,0.2,0.0369140625
1292,14336,7,11,0.2885986864566803,-2.8283328115940094,0.5173380374908447,0.004187816,0.9939626455307007,0.0003,0.8313614152371883,60,-0.0027157739124959333,0.2,0.015087890625
1292,16384,8,12,0.3716772198677063,-2.823824569582939,-0.10205280780792236,0.0066212113,0.9919185638427734,0.0003,0.8329939907416701,70,-0.005783888226142153,0.2,0.04794921875
1289,18432,9,14,0.019166182726621628,-2.8228971689939497,0.770976722240448,0.0075842342,0.9941887259483337,0.0003,0.17845686040818692,80,-0.005660587485181168,0.2,0.045947265625
1292,20480,10,15,0.4128546714782715,-2.8216560214757918,0.2848339080810547,0.0041304436,0.9897223114967346,0.0003,1.7402096308767796,90,-0.003366822568932548,0.2,0.02216796875
1293,22528,11,17,0.5832956433296204,-2.809233197569847,0.29843688011169434,0.00458636,0.9809205532073975,0.0003,1.5658626079559326,100,-0.004164477824815549,0.2,0.0244140625
1292,24576,12,19,0.4591831564903259,-2.79808985888958,0.35372692346572876,0.005874596,0.9804566502571106,0.0003,0.5344730057753623,110,-0.0018848304549464955,0.2,0.03232421875
1294,26624,13,20,0.1337517350912094,-2.796720337867737,0.6723660826683044,0.008045603,0.9784621596336365,0.0003,0.5924155348911881,120,-0.006573557754745707,0.2,0.063623046875
1293,28672,14,22,1.8163158893585205,-2.7916051268577577,0.239629328250885,0.00518737,0.9760216474533081,0.0003,4.505167013406753,130,-0.0032173563842661677,0.2,0.02353515625
1297,30720,15,23,0.5937055349349976,-2.7880711525678636,0.6009218692779541,0.0046458775,0.9750953316688538,0.0003,2.170095308125019,140,-0.002928813546895981,0.2,0.0138671875
1299,32768,16,25,0.2973279058933258,-2.784677082300186,0.6186054944992065,0.0037270775,0.9717064499855042,0.0003,1.0547714490443467,150,-0.0030307220469694583,0.2,0.02099609375
1304,34816,17,26,0.9618943333625793,-2.7796494245529173,0.5392159223556519,0.00661957,0.971572756767273,0.0003,2.244831423461437,160,-0.004642225737916306,0.2,0.03642578125
1305,36864,18,28,0.22990377247333527,-2.780382254719734,0.7542133927345276,0.004149856,0.9712858200073242,0.0003,0.9225832927972079,170,-0.003140624496154487,0.2,0.013037109375
1305,38912,19,29,0.5645995736122131,-2.7822297364473343,0.7420974373817444,0.003790122,0.9745140075683594,0.0003,1.362853353098035,180,-0.00492708171805134,0.2,0.03427734375
1307,40960,20,31,0.8799654245376587,-2.7861330091953276,0.6010105609893799,0.003035698,0.9738578796386719,0.0003,2.61144065707922,190,-0.0018737838079687208,0.2,0.006591796875
1309,43008,21,32,0.3462890386581421,-2.781291422247887,0.819169819355011,0.0029263515,0.9698164463043213,0.0003,0.8676356092095375,200,-0.0027120894665131345,0.2,0.01826171875
1311,45056,22,34,1.6001335382461548,-2.7745454221963883,0.6582901477813721,0.00795,0.968194305896759,0.0003,4.505332931876183,210,-0.010464682546444237,0.2,0.06484375
1312,47104,23,35,0.6950494647026062,-2.773482635617256,0.6791291236877441,0.0051437337,0.968824028968811,0.0003,2.3607437342405317,220,-0.0037785404361784457,0.2,0.01826171875
1314,49152,24,37,0.9627023935317993,-2.773502269387245,0.6897379159927368,0.0053819865,0.9677742719650269,0.0003,1.6776328727602958,230,-0.004955452180001885,0.2,0.022998046875
1313,51200,25,38,0.30417680740356445,-2.7694266229867934,0.6848644018173218,0.004029646,0.9645434021949768,0.0003,1.1717690095305442,240,-0.003988136805128306,0.2,0.020703125
1315,53248,26,40,0.2992914319038391,-2.766670560836792,0.7868642807006836,0.0050230366,0.9667609930038452,0.0003,1.1683253340423108,250,-0.004770122394256759,0.2,0.0203125
1317,55296,27,41,0.5669148564338684,-2.7677574694156646,0.8605031967163086,0.0042675864,0.9640071392059326,0.0003,2.0449476815760135,260,-0.003547250383417122,0.2,0.012255859375
1318,57344,28,43,0.604709804058075,-2.762031564116478,0.8225443959236145,0.002531834,0.9613993167877197,0.0003,1.9132511250674724,270,-0.0024038298637606204,0.2,0.006494140625
1318,59392,29,45,0.8315733671188354,-2.7567181676626205,0.7983702421188354,0.0047493028,0.9596666097640991,0.0003,2.140170308202505,280,-0.0025390320253791286,0.2,0.012158203125
1318,61440,30,46,0.27190160751342773,-2.7530869275331495,0.9012063145637512,0.004825284,0.9573409557342529,0.0003,1.1066833093762398,290,-0.0033811800240073353,0.2,0.023681640625
1319,63488,31,48,0.14277100563049316,-2.7476653665304185,0.9403167963027954,0.0053726826,0.9537477493286133,0.0003,0.6495591167360544,300,-0.005243062259978615,0.2,0.03212890625
1321,65536,32,49,1.1209592819213867,-2.740968519449234,0.8209537267684937,0.005964542,0.9524803161621094,0.0003,2.164422298967838,310,-0.005284559389110655,0.2,0.06376953125
1322,67584,33,51,0.5182756781578064,-2.7391834616661073,0.862220287322998,0.005695615,0.9508614540100098,0.0003,2.501347275823355,320,-0.003768477973062545,0.2,0.025244140625
1323,69632,34,52,0.948635995388031,-2.7323923081159593,0.7927922010421753,0.0051777004,0.9464781284332275,0.0003,2.3474465191364287,330,-0.003984328170190565,0.2,0.028857421875
1325,71680,35,54,1.002183198928833,-2.7295219630002974,0.8595770597457886,0.005177369,0.949112057685852,0.0003,1.7519981496036052,340,-0.0050657421787036585,0.2,0.036474609375
1325,73728,36,55,0.10881611704826355,-2.7277078211307524,0.9391906261444092,0.0061701713,0.9407050609588623,0.0003,0.3586722381412983,350,-0.006231956597184762,0.2,0.0439453125
1326,75776,37,57,0.24606558680534363,-2.713590693473816,0.922013521194458,0.0064065964,0.9389829635620117,0.0003,0.8976665694266558,360,-0.004443347733467817,0.2,0.027783203125
1328,77824,38,58,0.2898098826408386,-2.7140833765268324,0.9176340103149414,0.0075193755,0.9413971304893494,0.0003,0.7303188145160675,370,-0.0061974466254469006,0.2,0.0361328125
1329,79872,39,60,0.7935611605644226,-2.719154363870621,0.924911618232727,0.0070485305,0.9429243206977844,0.0003,1.9155543729662896,380,-0.006151475000660866,0.2,0.054736328125
1329,81920,40,61,1.2786740064620972,-2.720531275868416,0.8848821520805359,0.0022822334,0.9428979754447937,0.0003,2.5871752098202707,390,-0.0027178262738743798,0.2,0.01796875
1330,83968,41,63,0.9460088014602661,-2.7196477591991424,0.9166220426559448,0.0049893036,0.9420690536499023,0.0003,2.0597598321735857,400,-0.004086125912726857,0.2,0.025048828125
1331,86016,42,64,0.5065765976905823,-2.7169056266546248,0.8150779008865356,0.005619089,0.9402254223823547,0.0003,1.3893166676163673,410,-0.00446098925312981,0.2,0.023681640625
1331,88064,43,66,0.7056448459625244,-2.71234070956707,0.8939175605773926,0.004764655,0.9372961521148682,0.0003,2.5647106245160103,420,-0.005381361971376464,0.2,0.027685546875
1332,90112,44,67,0.160019189119339,-2.7014497846364973,0.9469407200813293,0.01134981,0.9292294979095459,0.0003,0.6422608338296414,430,-0.014735358767211437,0.2,0.12431640625
1333,92160,45,69,0.5820517539978027,-2.6878605633974075,0.88411945104599,0.0044388203,0.9263889193534851,0.0003,1.5557430386543274,440,-0.004507526557426899,0.2,0.02353515625
1333,94208,46,70,0.8515648245811462,-2.6843644261360167,0.883527398109436,0.005096297,0.9265061616897583,0.0003,1.8144971020519733,450,-0.004791562733589672,0.2,0.03779296875
1333,96256,47,72,0.5221497416496277,-2.682354915142059,0.8415319919586182,0.004680156,0.9218454360961914,0.0003,1.2480041995644569,460,-0.004053993700654246,0.2,0.02587890625
1335,98304,48,73,0.3825659453868866,-2.6720970958471297,0.8472756147384644,0.0058368733,0.9199974536895752,0.0003,1.7197179943323135,470,-0.00223780135565903,0.2,0.02412109375
1335,100352,49,75,0.24839697778224945,-2.6680437296628954,0.9093949794769287,0.0069138603,0.9161410331726074,0.0003,1.082576858624816,480,-0.006078186721424572,0.2,0.06865234375
1335,102400,50,76,0.8317260146141052,-2.6591086447238923,0.9060245156288147,0.0042620497,0.9127463102340698,0.0003,1.9681831434369088,490,-0.003301065109553747,0.2,0.01259765625
1337,104448,51,78,0.9547253251075745,-2.654020833969116,0.7534956932067871,0.0043669967,0.9124475121498108,0.0003,2.7364074647426606,500,-0.0031055332743562757,0.2,0.017822265625
1338,106496,52,79,2.469975233078003,-2.656454327702522,0.7499340176582336,0.0041743848,0.9139786958694458,0.0003,4.1812186449766156,510,-0.005673501486307941,0.2,0.0232421875
1339,108544,53,81,0.839253842830658,-2.658480390906334,0.8899381756782532,0.005986081,0.9148193597793579,0.0003,2.4005114935338496,520,-0.0046037022257223725,0.2,0.0265625
1340,110592,54,82,0.5319610834121704,-2.656762865185738,0.931610107421875,0.006850956,0.9105761647224426,0.0003,1.140715017169714,530,-0.006191548681817949,0.2,0.06474609375
1342,112640,55,83,0.6011444330215454,-2.6542552381753923,0.8663645386695862,0.0047197556,0.9166842699050903,0.0003,1.619534219801426,540,-0.004810443730093539,0.2,0.036669921875
